DrugBank ID,Name_Synonyms
DB00001,"['lepirudin', 'hirudin variant-1', 'lepirudin recombinant']"
DB00002,"['cetuximab', 'cetuximab', 'cétuximab', 'cetuximabum', 'immunoglobulin g 1 (human-mouse monoclonal c 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal c 225 kappa - chain, dimer']"
DB00003,"['dornase alfa', 'deoxyribonuclease (human clone 18-1 protein moiety)', 'dornasa alfa', 'dornase alfa, recombinant', 'dornase alpha', 'recombinant deoxyribonuclease (dnase)']"
DB00004,"['denileukin diftitox', 'denileukin', 'interleukin-2/diptheria toxin fusion protein']"
DB00005,"['etanercept', 'etanercept-szzs', 'rhu tnfr:fc', 'rhu-tnfr:fc', 'tnfr-immunoadhesin']"
DB00006,"['bivalirudin', 'bivalirudin', 'bivalirudina', 'bivalirudinum', 'hirulog']"
DB00007,"['leuprolide', 'leuprorelin', 'leuprorelina', 'leuproreline', 'leuprorelinum']"
DB00008,"['peginterferon alfa-2a', 'pegylated interferon alfa-2a', 'pegylated interferon alpha2a']"
DB00009,"['alteplase', 'alteplasa', 'alteplase (genetical recombination)', 'alteplase, recombinant', 'alteplase,recombinant', 'plasminogen activator (human tissue-type protein moiety)', 'rt-pa', 't-pa', 't-plasminogen activator', 'tissue plasminogen activator', 'tissue plasminogen activator alteplase', 'tissue plasminogen activator, recombinant', 'tpa']"
DB00010,['nan']
DB00011,"['interferon alfa-n1', 'interferon alpha-n1 (ins)']"
DB00012,"['darbepoetin alfa', 'darbepoetin', 'darbepoetin alfa,recombinant', 'darbepoetina alfa']"
DB00013,"['urokinase', 'kinase (enzyme-activating), uro-urokinase', 'tcuk', 'tissue culture urokinase', 'two-chain urokinase', 'urochinasi', 'urokinase', 'urokinasum', 'uroquinasa']"
DB00014,"['goserelin', 'goserelin', 'goserelina']"
DB00015,"['reteplase', 'human t-pa (residues 1-3 and 176-527)', 'reteplasa', 'reteplase, recombinant', 'reteplase,recombinant']"
DB00016,"['erythropoietin', 'e.p.o.', 'epoetin alfa', 'epoetin alfa rdna', 'epoetin alfa-epbx', 'epoetin alfa, recombinant', 'epoetin beta', 'epoetin beta rdna', 'epoetin epsilon', 'epoetin gamma', 'epoetin gamma rdna', 'epoetin kappa', 'epoetin omega', 'epoetin theta', 'epoetin zeta', 'epoetina alfa', 'epoetina beta', 'epoetina dseta', 'epoetina zeta', 'epoétine zêta', 'epoetinum zeta', 'erythropoiesis stimulating factor', 'erythropoietin (human, recombinant)', 'erythropoietin (recombinant human)', 'esf', 'sh-polypeptide-72']"
DB00017,"['salmon calcitonin', 'calcitonin (salmon synthetic)', 'calcitonin salmon', 'calcitonin salmon recombinant', 'calcitonin-salmon', 'calcitonin, salmon', 'calcitonina salmón sintética', 'recombinant salmon calcitonin', 'salmon calcitonin']"
DB00018,['nan']
DB00019,"['pegfilgrastim', 'granulocyte colony-stimulating factor pegfilgrastim', 'peg-filgrastim', 'pegfilgrastim-cbqv', 'pegfilgrastim-jmdb']"
DB00020,"['sargramostim', 'gm-csf']"
DB00022,['nan']
DB00023,"['asparaginase escherichia coli', 'asparaginase', 'asparaginase (e. coli)', 'colaspase', 'escherichia coli l-asparaginase', 'l-asparaginase', 'l-asparagine amidohydrolase']"
DB00024,"['thyrotropin alfa', 'recombinant human thyroid stimulating hormone', 'recombinant thyrotropin alfa', 'rhtsh', 'rtsh', 'thyrotropin alpha']"
DB00025,"['antihemophilic factor, human recombinant', 'antihemophilic factor (recombinant)', 'antihemophilic factor recombinant', 'antihemophilic factor, human recombinant', 'antihemophilic factor, recombinant', 'factor viii (rdna)', 'factor viii (recombinant)', 'factor viii recombin', 'factor viii, recombinant', 'human factor viii (recombinant)', 'human factor viii recombinant', 'octocog alfa', 'rahf', 'recombinant antihemophilic factor viii']"
DB00026,"['anakinra', 'anakinra', 'il-1ra', 'interleukin-1 receptor antagonist anakinra']"
DB00027,"['gramicidin d', 'bacillus brevis gramicidin d', 'gramicidin', 'gramicidin a', 'gramicidin b', 'gramicidin c', 'gramicidina', 'gramicidine']"
DB00028,"['immune globulin human', 'human igg', 'human immunoglobulin g', 'human normal immunoglobulin', 'immune globulin (human)', 'immune globulin intravenous', 'immune globulin subcutaneous', 'immunoglobulin g (human)', 'immunoglobulin g, human', 'intravenous immunoglobulin', 'ivig']"
DB00029,"['anistreplase', 'anisoylated plasminogen streptokinase activator complex', 'apsac']"
